No.,PC,EPC,CRC,RSSI(dBm),CNT,PER(%),
01,30 00,E2 80 69 15 00 00 40 17 AA E6 89 D4 ,62 AC,-31,8,96,887,00,
02,30 00,E2 80 69 95 00 00 60 04 0F 77 89 DE ,BA EE,-30,2,97,743,00,
03,30 00,E2 00 00 17 57 0D 00 68 21 80 36 55 ,D2 17,-29,3,98,511,00,
